group	NC	NC	NC	NC	NR	NR	NR	NR	NR
subject-id	210421121673	210421121674	210421121675	210421121676	210421121677	210421121678	210421121679	210421121680	210421121681
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0.656280713655267	0.773528132706235	0.784231275769757	0.870784839705248	0.806948064115012	0.790074074074074	0.857734964807033	0.599077506965316	0.885112950940637
Bacteria|Firmicutes|Clostridia|Clostridiales	0.000000000000000	0.000022623808794	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000290678542439	0.000000000000000
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales	0.029993871722431	0.003453901475826	0.152143785561189	0.003112039878783	0.135878174664009	0.000000000000000	0.000000000000000	0.000268740539236	0.000040617659204
Bacteria|Firmicutes|Clostridia|Peptostreptococcales-Tissierellales	0.003106535673128	0.104949335237085	0.001725874342575	0.013562823902356	0.001362699507725	0.001748148148148	0.003765955759930	0.053600026325604	0.004569486660484
Bacteria|Firmicutes|Bacilli|Erysipelotrichales	0.000655224645697	0.006440244236585	0.000628373202035	0.004379192072352	0.000681349753862	0.001288888888889	0.001233295453544	0.005138977250291	0.001570549489233
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.010094313806354	0.046647779975918	0.008237714443115	0.023440167865450	0.009121569829833	0.124355555555556	0.018666807614718	0.089167014018384	0.039940698217562
Bacteria|Firmicutes|Clostridia|Oscillospirales	0.093639310395332	0.003365919997185	0.011160080225181	0.025074579423596	0.007988825864037	0.057703703703704	0.030568108741422	0.080161463703574	0.037740575010662
Bacteria|Proteobacteria|Gammaproteobacteria|Burkholderiales	0.000724601372888	0.037754109363492	0.005100152358982	0.006516169076762	0.005731854804367	0.000903703703704	0.003673458600914	0.000795252616107	0.001435157291885
Bacteria|Firmicutes|Clostridia|Lachnospirales	0.189645138040416	0.013637129189489	0.022087748444131	0.018137458092700	0.015892483008841	0.017155555555556	0.079181972744170	0.139629905885966	0.018372721180078
Bacteria|Firmicutes|Bacilli|	0.001807649169599	0.004308578696919	0.004105945443433	0.002804916550511	0.005821281959562	0.001318518518519	0.001435908278055	0.006181032402431	0.002288128135176
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.002482145128405	0.001128676683149	0.006980968039045	0.000270612163372	0.008125095814809	0.001733333333333	0.000629861606632	0.003109711954018	0.001441926901753
Bacteria|Firmicutes|Clostridia|Christensenellales	0.000026979838352	0.000080440209044	0.000279755192687	0.000309271043854	0.000144786822696	0.000000000000000	0.000000000000000	0.000263256038435	0.000074465708541
Bacteria|Firmicutes|Clostridia|Clostridia_UCG-014	0.005673474579211	0.000035192591457	0.000000000000000	0.009598140937392	0.000000000000000	0.000488888888889	0.000000000000000	0.000394884057653	0.001570549489233
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.000000000000000	0.000693796803004	0.000000000000000	0.011913378335134	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales	0.000000000000000	0.000718934368331	0.000000000000000	0.000085908623293	0.000000000000000	0.000000000000000	0.000000000000000	0.006115218392822	0.000000000000000
Bacteria|Patescibacteria|Saccharimonadia|Saccharimonadales	0.000000000000000	0.000037706347989	0.000000000000000	0.001041642057426	0.000000000000000	0.000000000000000	0.000000000000000	0.000948818638528	0.000000000000000
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales	0.000131044929139	0.000289082001252	0.000086078520827	0.000369407080159	0.000055359667501	0.000992592592593	0.000105711038875	0.003049382445210	0.001983495691143
Bacteria|Firmicutes|Clostridia|Monoglobales	0.000898043190867	0.000000000000000	0.002948189338314	0.000281350741284	0.001984431158124	0.000533333333333	0.000392011769162	0.008500976241143	0.000676960986738
Bacteria|Firmicutes|Clostridia|Peptococcales	0.001796086381734	0.000163394174621	0.000215196302067	0.000599212647468	0.000225697105967	0.000000000000000	0.001131989041289	0.000614264089683	0.000318171663767
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.000100210828165	0.000186017983414	0.000021519630207	0.000000000000000	0.000000000000000	0.000000000000000	0.000290705356907	0.000164535024022	0.000148931417082
Bacteria|Firmicutes|Clostridia|Clostridia_vadinBB60_group	0.002351100199265	0.000223724331404	0.000038735334372	0.002755519092118	0.000000000000000	0.000474074074074	0.000114520292115	0.000351008051247	0.000264014784828
Bacteria|Cyanobacteria|Vampirivibrionia|Gastranaerophilales	0.000238964282548	0.000517833845721	0.000000000000000	0.004744303721347	0.000000000000000	0.000814814814815	0.000000000000000	0.000164535024022	0.000440024641380
Bacteria|Firmicutes|Bacilli|RF39	0.000000000000000	0.000000000000000	0.000000000000000	0.000032215733735	0.000000000000000	0.000000000000000	0.000726763392267	0.000000000000000	0.000000000000000
Bacteria|Firmicutes|Bacilli|Acholeplasmatales	0.000000000000000	0.001337318475356	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
Bacteria|Deferribacterota|Deferribacteres|Deferribacterales	0.000250527070414	0.000233779357534	0.000000000000000	0.000135306081686	0.000000000000000	0.000000000000000	0.000000000000000	0.000087752012812	0.000000000000000
Bacteria|Firmicutes|Clostridia|uncultured	0.000000000000000	0.000128201583164	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.001294342188974	0.000000000000000
Bacteria|Actinobacteriota|Actinobacteria|Micrococcales	0.000000000000000	0.000000000000000	0.000008607852083	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0.000000000000000	0.000032678834924	0.000000000000000	0.000000000000000	0.000038325923655	0.000000000000000	0.000074878652537	0.000000000000000	0.000000000000000
Bacteria|Firmicutes|Bacilli|Staphylococcales	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000414814814815	0.000273086850428	0.000466182568063	0.001638245587907
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales	0.000000000000000	0.000017596295728	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000038391505605	0.000000000000000
Bacteria|Actinobacteriota|Actinobacteria|Corynebacteriales	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000372328542706
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	0.000104065090787	0.000047761374120	0.000000000000000	0.000051545173976	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000076783011210	0.000000000000000
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000049360507207	0.000000000000000
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0.000000000000000	0.000020110052261	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
